C9,C10,C9p,C10p
-0.08121783,0.322423,0.07052891,0.2266196
-0.9793516,-0.1399208,-0.003237671,-0.2091712
-0.7964016,0.203842,-0.1172215,0.0656166
-1.031469,0.03146293,0.3125221,0.1823588
-0.1311527,0.3872305,0.03701159,0.1488784
-0.3716769,0.3121897,0.1448353,0.1197729
-0.191754,0.5014612,0.1817973,0.06645942
-1.174345,0.1397734,-0.05789212,0.1203207
0.04130673,0.4812658,0.3101142,-0.2026199
-1.015567,-0.08092794,-0.03509323,0.1444632
-0.2758495,0.01100866,0.2120913,0.04892813
-0.4249348,-0.1255275,0.371709,0.1066033
-0.07268072,0.4329028,-0.06556445,0.066916
-0.2888962,0.1102116,0.08553168,-0.2099834
0.04314418,0.4863096,0.4065397,-0.04752138
-1.081556,0.02612067,0.4152345,-0.06836522
-0.4386513,0.4323214,-0.04559364,-0.1650647
-0.8129029,-0.01229901,0.281854,0.2292879
-0.396818,-0.0252137,0.322439,0.07735356
0.09809328,0.3328297,0.353463,0.1677638
-0.820517,0.1544888,0.2948197,0.1932398
-0.5350023,-0.04568213,0.3015263,-0.1535997
-0.3974366,0.4369038,0.2480154,-0.06113366
-0.1357513,0.1933481,0.03304606,-0.1103978
-0.3620884,0.2179974,0.1269237,-0.05283618
-0.003878581,0.01883618,0.2209145,-0.02200789
-1.147698,0.1445209,-0.148912,0.01143575
-1.105766,0.2018116,0.1173033,0.04802689
0.1248638,0.5372961,-0.1146385,-0.1245812
-0.6932729,0.08053975,0.2625864,-0.1690333
0.1483631,0.1927348,0.2368529,0.06493944
-0.3878815,0.2380874,0.4184445,-0.239739
-1.208452,-0.1377929,0.3335725,0.09161254
-0.3241387,0.4821058,0.0792019,-0.1683628
-0.8032363,0.5203612,0.3629408,-0.1815286
-0.1865277,0.001223693,0.1968303,0.195545
-0.3565577,0.2402042,0.3695206,0.0249937
-0.06512962,-0.08221569,0.2954444,-0.1713327
-0.6472345,0.007533577,-0.1412185,0.1023198
-1.151366,0.4227135,-0.03378163,-0.02490058
-0.3505634,0.5107484,0.1679265,-0.0318675
-0.05748166,0.1110976,0.227986,-0.1708942
-0.4955923,0.4691614,0.2647018,0.1317382
-0.223468,0.002042634,0.2618474,0.1171936
0.003777266,0.05299141,0.4402264,-0.19506
-0.9934216,-0.1241105,-0.08615341,-0.1970012
-0.1327809,0.4044832,0.3267732,-0.124548
-0.7173491,0.1819752,-0.130078,-0.1245438
-0.2984247,-0.03741345,0.2673002,0.1267708
0.1074496,0.3198844,0.140091,-0.04586667
-0.06202652,-0.1354283,0.2876095,0.2478977
-0.4213901,-0.08658753,0.4251013,0.1027901
-0.8884818,0.2009194,0.3774109,-0.02439986
-0.6089064,0.3451248,0.03180158,0.09008111
-0.6867137,0.3361961,0.1597077,0.1792816
-0.6080261,0.01002771,0.2999586,-0.07049736
-0.7396733,0.2851322,0.01396574,-0.1431578
-0.4291087,0.04918685,-0.1046769,0.2101846
-0.285564,0.3978815,0.152995,0.082297
-0.3329928,-0.1253383,0.08798141,-0.1110664
-0.4974892,0.5159728,0.002982278,0.04369361
-0.4093101,0.1540431,0.005578636,-0.05132348
-1.005328,0.1257522,0.1978577,-0.2006118
0.09920458,0.114613,0.2696265,0.1976739
-0.005457214,0.1436565,0.051779,0.07484658
0.0697222,-0.03703692,0.3147926,-0.1053473
-0.924212,0.4256745,0.1250834,0.117767
-1.020551,0.3732876,-0.1159964,-0.0816907
-0.1060869,-0.1341344,-0.1353,0.07267911
-0.8313228,0.350148,0.2958712,-0.109802
-1.243529,-0.06449967,-0.06867351,0.0990958
-0.9543348,0.4977384,0.2217094,-0.1113237
-0.3144046,0.2468867,0.3426389,0.1243267
-0.004776176,0.4649054,-0.01406578,0.1685252
-0.5039238,0.2494124,0.3500285,-0.0804775
-0.7127784,0.1452522,0.3024742,0.1105223
-0.01155131,0.4869707,0.3592861,0.04821661
-0.6944475,0.07278411,0.2071022,-0.0211402
-0.8568537,0.2122505,0.4222646,-0.04115966
-1.046375,-0.01798654,-0.05132984,-0.01547767
-0.6339283,0.4170143,0.2067006,-0.1951592
-1.177595,0.3647836,0.2096891,-0.1045084
0.001177922,0.01892084,0.4166964,0.1900511
