O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14
1.698789527,0.159447668,-0.373383472,-1.603231939,-0.662861377,1.719677473,-3.002944365,-0.160600985,-1.214441482,0.161586632,2.264745994,0.910683881,0.035482884,1.88095856
2.495657253,0.151721369,-0.150519906,-1.307963471,-0.753754962,1.492057116,-3.449733796,-0.118658,-1.119357952,-0.787877392,1.019856597,0.190731445,0.425762603,1.131277751
2.215458373,0.314394883,-0.052491674,-1.272089513,-0.59616688,1.784976957,-3.190436512,-0.043225166,-1.26367513,-0.491886112,1.584842637,0.177556791,-2.024646088,1.120138845
2.978917801,0.60715737,0.134607239,-1.06473676,-0.586567327,1.680120237,-3.387217419,0.055180389,-1.01532872,-0.672200755,1.156698185,-0.073798547,-1.196110678,1.037061869
1.606101255,0.131873707,-0.407270095,-1.669108771,-0.720350712,1.683191941,-2.948296853,-0.156400495,-1.309426268,0.123524402,2.27660618,0.971505768,-0.240845364,1.527106427
1.981027246,0.279022135,-0.292170545,-1.645132334,-0.832023071,1.58756639,-3.055049509,-0.101743302,-1.353887843,-0.105087982,2.084710775,1.009005001,-0.350071114,1.122082617
1.643883512,0.195965001,-0.476252828,-1.874009857,-0.947469417,1.492669054,-2.866105329,-0.108611077,-1.459272221,0.071597621,2.310151789,1.358725983,-0.031140733,0.74338201
2.733271836,0.513491967,0.190272826,-0.902381136,-0.403993054,1.873659265,-3.305346002,0.076424814,-1.030016218,-0.805987079,1.012740864,-0.571044679,-2.89570359,0.897475396
1.499089268,-0.252874695,-0.935424401,-2.303858631,-1.274748551,1.097993387,-2.808143585,-0.248209888,-1.503888016,0.051080355,2.231646397,2.042981121,2.56060002,0.475830488
2.707505478,0.40900467,0.098308108,-0.949323905,-0.37975958,1.867131405,-3.447357435,-0.044569707,-0.989918509,-0.664061765,1.094705217,-0.490680909,-1.587026275,1.710315523
2.064136217,0.074772142,-0.401298067,-1.671801564,-0.872072657,1.475086789,-3.26465216,-0.207364056,-1.208482467,-0.155904662,1.910748095,1.130369571,1.757504185,1.833262166
2.457103331,0.21930295,-0.281637682,-1.552884082,-0.857183453,1.447004841,-3.407050811,-0.162008993,-1.116538741,-0.277618141,1.697471772,0.964315945,2.132101809,1.916163827
1.340107154,-0.016795567,-0.501263338,-1.718628822,-0.706188498,1.695819817,-2.881815396,-0.18922939,-1.340799891,0.156696585,2.312567184,0.97779791,-0.274104716,1.529682076
1.682232344,-0.171678128,-0.59825969,-1.906252883,-1.057674997,1.312660537,-3.14818672,-0.253305747,-1.383617043,-0.247179797,1.903106014,1.445638038,1.90911812,1.227288458
1.756406824,-0.0362169,-0.800834692,-2.201727677,-1.215167206,1.161173132,-2.833430593,-0.188283607,-1.422862322,0.124301571,2.283223546,1.959024324,2.364729251,0.586054531
2.985652175,0.510329017,0.003672338,-1.288348023,-0.880149364,1.351704773,-3.385633293,0.037782437,-1.078468255,-0.843160085,0.962438367,0.327074354,0.041011943,0.377587036
1.523090181,0.008160642,-0.483668965,-1.873199819,-1.000163009,1.468565323,-2.920266162,-0.12092448,-1.576063162,-0.241661795,2.067337341,1.244923459,-0.628962841,0.484603876
2.787006519,0.518423234,0.035833835,-1.180349558,-0.604962165,1.693730699,-3.39023088,-0.020361237,-1.061246814,-0.480302653,1.426041721,0.175687272,-0.587910485,1.516839793
2.321403336,0.20114675,-0.318156339,-1.620090626,-0.896106715,1.436912341,-3.321937841,-0.163705551,-1.1853638,-0.246531774,1.789248283,1.071429701,1.74914294,1.667075325
1.965696472,0.068456649,-0.594395963,-1.891608743,-0.935373855,1.425389585,-2.971119559,-0.174517359,-1.190417427,0.216407219,2.298949253,1.532573212,2.139523689,1.560150886
2.715486993,0.569693266,0.029842194,-1.284257367,-0.720186092,1.628704834,-3.266982009,0.030307031,-1.16838136,-0.486557274,1.536799417,0.410243948,-1.088207469,0.940098914
2.292372334,0.084659459,-0.403862849,-1.748965398,-1.079749107,1.230420091,-3.33609268,-0.18938292,-1.275013546,-0.460591574,1.568125197,1.230802683,2.235523266,1.098409473
1.866035786,0.217316337,-0.455441948,-1.951300943,-1.141523896,1.309691862,-2.946869329,-0.084004965,-1.541826291,-0.195023865,2.094177094,1.531055016,0.156091857,0.270310087
1.756903528,-0.194241777,-0.615955304,-1.869027039,-0.936095372,1.44957939,-3.070223994,-0.260559784,-1.346308441,-0.066645682,2.084472778,1.353553384,1.511209558,1.527599966
1.868537838,0.078748507,-0.4357813,-1.783062564,-0.965783118,1.437305122,-3.102872114,-0.172547068,-1.386313954,-0.20292874,1.977509107,1.241757352,0.67295967,1.07165815
1.994337408,-0.192985897,-0.626293325,-1.85693756,-0.954413553,1.377375086,-3.207779643,-0.280280676,-1.184573898,-0.0227168,2.040404513,1.475465379,3.151757732,2.072228934
2.549969136,0.396226432,0.105861439,-1.006748053,-0.48163438,1.815662195,-3.280389739,0.045234315,-1.095413492,-0.824134071,1.040335794,-0.421257604,-2.645780927,0.806493142
2.742682647,0.537431367,0.112331858,-1.13261071,-0.660153114,1.663032535,-3.254028355,0.08883357,-1.138792703,-0.791396552,1.152658247,-0.013300075,-2.168977895,0.435131977
1.022682138,-0.383272467,-0.813608545,-1.945398589,-0.791883586,1.589368204,-2.724387847,-0.258451195,-1.372570799,0.244987819,2.373782486,1.261604275,0.631064818,1.376909377
2.347214825,0.195067364,-0.318403971,-1.709806223,-1.093409667,1.245785204,-3.264541511,-0.116702803,-1.332950551,-0.570223692,1.499649365,1.11952967,1.037870294,0.588623195
1.809741326,-0.165214993,-0.669917854,-1.882940887,-0.903962138,1.43387322,-3.053906937,-0.258015376,-1.154001889,0.159072176,2.218743907,1.499701404,2.789720003,2.00491039
2.003321269,0.037329011,-0.625968835,-2.140832373,-1.400262271,0.953800812,-3.091092261,-0.170117398,-1.494743034,-0.373656733,1.809619484,1.89890434,2.387613376,0.22019918
3.172171004,0.565901743,0.16238001,-0.910028472,-0.491345904,1.666970264,-3.525391475,0.038291059,-0.866847399,-0.843761295,0.73955555,-0.504940689,-0.600662855,1.157984615
1.47398834,-0.00347539,-0.591383088,-2.023711637,-1.111864587,1.351834513,-2.867014802,-0.137270451,-1.608965025,-0.149362616,2.164265118,1.532548287,0.041082803,0.330389417
2.297831071,0.433437734,-0.276819909,-1.952344047,-1.393368303,1.064592019,-2.960645465,0.097614531,-1.602350409,-0.659229334,1.682313043,1.545753824,-0.758765636,-0.777439782
2.077996989,0.129507269,-0.34008345,-1.557812194,-0.728113336,1.610942146,-3.272979095,-0.192355018,-1.113290829,-0.035730748,1.995922417,0.937493028,1.483011149,2.333501641
2.138116767,0.2483254,-0.406559519,-1.843097379,-1.083699932,1.306912541,-3.109543864,-0.116708625,-1.361875989,-0.186785176,1.983820843,1.461026422,1.218646302,0.820292152
2.06129353,-0.297255769,-0.709696751,-1.97776129,-1.123548891,1.175551684,-3.283659328,-0.312220574,-1.227390713,-0.171416374,1.878087086,1.70131018,4.304590276,1.831343301
2.181274925,0.198639088,-0.115943283,-1.246773922,-0.514343938,1.820058212,-3.316875771,-0.141710278,-1.159874331,-0.378266851,1.60211896,0.12941977,-0.991628211,1.973049724
2.481597252,0.502133546,0.109270487,-1.209759695,-0.731813774,1.673220638,-3.080907896,0.171283584,-1.27703314,-0.870672909,1.2488518,0.089878068,-3.307551338,-0.138311354
1.706419992,0.204509459,-0.456925264,-1.925522238,-1.05777319,1.411419203,-2.877116003,-0.078673295,-1.566357215,-0.103523242,2.20666542,1.429218785,-0.362947543,0.325868687
