mass,speed,volume
-2.496627997064233995e+00,-2.028439753639714294e+00,3.022849389974608503e+00
1.276845239111336072e+00,1.328367825857774909e+00,1.569228997830994343e+00
2.200356664644749216e-01,4.765239917536518988e-01,6.039661004437897329e-01
-2.935564104571204425e+00,3.072296476968289225e-01,-6.568441409559294675e-01
-2.222551985433845800e+00,-1.833068850749970835e+00,-4.184656663334935800e-01
-7.807496071310030539e-01,3.616503000264669199e-01,3.123652485925687006e-01
-4.228930916586559063e-01,1.809354796434056167e-01,1.477257311345420820e+00
2.221292059464785140e+00,1.825969130465344259e+00,2.716970374943338484e+00
1.732165073235983899e-01,1.580350730983721919e+00,5.979088460487977930e-01
-2.396796996812695202e+00,-8.511351519119330078e-01,-4.452442030153545005e-01
6.810835530357239875e-01,-7.898042574093833146e-02,-3.699005886794127784e-01
-1.595383500748491334e+00,1.794484517054373285e+00,-2.556292293520605607e-01
-6.422840408933216949e-02,-2.830749519265493008e-01,7.635441337075327128e-01
-9.989073844063808272e-01,-2.615756888501252764e-01,1.545979987921824339e+00
5.857600300262399973e-02,-5.937807663224503596e-01,9.846242337084873952e-01
-1.531652169509691408e+00,7.596478288987162930e-01,1.873187247715540626e-01
-2.120314522037269889e+00,9.400550603276700556e-01,1.084846479539631314e+00
-1.690642808395763197e+00,-4.140408839785497674e-02,7.625000292464720886e-01
1.177123130001717310e+00,8.563021034481317351e-01,-6.786440597784104689e-01
-2.035709143623859685e+00,-7.905304786216789115e-01,1.896898248328805714e+00
-1.565450816025782732e+00,-2.716906672031913494e-01,9.738672163014201466e-01
-1.886136463480056591e+00,1.044195363530616705e+00,2.216682076094930842e+00
-4.727400461877240834e-01,6.440291261210522311e-01,5.884018693554015078e-01
-1.425653830297965996e-01,3.815552432976281327e-01,1.159346561243581153e+00
-1.612419114464855641e+00,1.921320986716629875e+00,8.074624331628679208e-01
-2.151775971350492700e+00,-6.161621889629004256e-01,-7.178539802854579932e-01
-7.654919772859212213e-01,5.661444272609112982e-01,1.151614675167066615e+00
8.524857863497663502e-01,-7.589116636629531509e-01,-1.282915273444621196e+00
-1.576114534869867967e+00,-1.155581006794787147e+00,1.280172649290670428e+00
1.238332379630406210e+00,4.581699473591398508e-01,3.169593122211303848e-01
-1.795919219439153558e+00,-3.790783979315618391e-01,7.022299879626029417e-01
-2.304334779663272492e+00,-1.143371167995668625e+00,-5.651238075858296961e-01
-4.115548524824879650e-01,2.858095989295352801e-01,-2.477878967339147698e-02
-5.446221091625220723e-01,-9.168981527868023118e-01,-1.459392990308799432e+00
1.912730600715827345e+00,7.604180187963571758e-01,-7.730825588727292530e-01
-8.091686031795256584e-01,1.938045417044698349e+00,2.807191901056278027e+00
1.455209357583474583e+00,2.999882091034334675e+00,-2.721163376405625334e-01
2.607578046249370285e-02,-1.422112112124503058e+00,-1.093025125220067340e-01
-2.083459641027857856e+00,-6.289071206330253405e-01,-5.574930085820534176e-01
2.586661123688782649e-01,5.444991874247092634e-01,8.506761604663066745e-01
-3.045457476908282501e+00,-6.976035399067921361e-01,-5.718979254453963046e-01
2.597734257747654762e-01,1.730162584284330451e+00,1.592421602561097105e+00
-2.600447115868408154e+00,-1.036470349178658212e+00,-7.441593653223463889e-01
-4.545956711311299747e-01,7.603723895316383263e-04,1.156104820952932322e+00
-1.651685473714977537e+00,-8.940135525601726751e-01,-1.182261345299741251e+00
-1.753375290136725440e+00,-2.699878266349574618e-01,-6.767922206175389643e-01
-5.306338223718616298e-01,9.949117614891868078e-01,-7.765206684124770220e-01
3.217962848525965924e-01,1.668906155377013201e-01,-1.089516423150326818e-01
-1.449069284337098473e+00,5.461294419024333990e-01,1.817123159571824020e+00
-1.640669569048695875e+00,1.786532249623204338e+00,8.526881534577619437e-01
1.091735657483925204e+00,1.568839842506576376e+00,1.452854013896048624e+00
-1.253735162775808876e+00,-4.678364600868443191e-01,2.246340136604833226e+00
-9.960531077291201463e-01,-6.583112362798602124e-01,-3.602234154740809879e-01
1.500384030966036564e+00,5.091491008716837463e-01,9.038891439932319471e-01
-2.129598729735284746e+00,1.017439726172751913e+00,-1.493349532848396555e+00
3.142923158582693333e-01,1.373604627424467317e-01,-1.388330981664007036e+00
-1.731664772040844458e+00,6.331615897078990418e-01,1.261314162663006666e+00
6.725587493051252697e-01,5.339657395802501760e-01,4.291418597865084283e-01
-2.499113142224883788e+00,-1.288877478858137193e+00,6.459396301511153293e-01
4.355400944250864548e-02,4.157969728166386880e-01,5.636081023418509917e-02
-1.430553907893413079e+00,2.043223292238984357e+00,1.912894904199070045e-01
-1.661594723345678037e+00,6.576680551341944625e-01,1.680264158326924662e+00
-1.103301256793989937e+00,5.367384142903552924e-03,-6.798744481120324590e-01
-1.351135326587773022e+00,-1.474048049926204085e+00,-2.221541402854428693e+00
-2.571255352317247667e+00,5.672595766495321934e-01,3.302263082183184428e-01
-9.299259214134074636e-01,8.351424577057545706e-01,5.911629000584157634e-01
3.588835212785690398e-01,2.180334713484819720e-01,2.183315598916472311e+00
-7.080065445913031885e-01,-4.005937687196559072e-02,1.169418735354922134e+00
-3.128701341895196442e-01,7.687216289913889611e-01,2.841954911478357992e+00
5.723632195755945506e-01,1.855862914396972929e+00,1.019210132244742884e+00
-1.145469111099462367e+00,1.393254039570034797e+00,1.178561056022791043e+00
-1.988291446449897304e+00,-2.779933776096206177e-01,3.079827097505699607e-02
-1.360780299651658254e+00,1.237614921839576887e+00,-1.144524733800939886e+00
-9.128249688779601634e-01,6.771058419678990248e-01,2.036166694986990766e+00
-1.965587522303122503e+00,8.905211499491929583e-01,-1.551434110197300043e-01
-6.555747920481970192e-01,6.061784289245858437e-01,1.337900781269542594e-01
-1.839255886647236160e+00,-9.482537105521264831e-01,-1.377393592007980061e+00
-4.978670093340358260e-01,-3.647417046474660252e-01,-1.012425086508478733e+00
3.162645955693127675e+00,8.777033017573078189e-01,-1.204358526213996083e-01
-1.374383915969962455e+00,3.190519946711564803e+00,-1.612602189477191583e+00
-9.595984272502533496e-02,2.859875241959243808e-01,1.641188871914030512e-01
-2.084550742209597018e+00,-1.043426499171828947e-01,-1.081427514020075753e+00
-3.193279738875736129e+00,1.112499065678120402e+00,2.994833296865511141e-01
-1.993832692822043340e+00,7.953635120625366373e-01,7.854553456400387157e-02
1.971818815690243865e-01,2.690176133590667096e+00,1.513571184691864691e+00
-1.393672525749592328e+00,7.044828793677264667e-01,-1.003766154025301782e-01
-3.505907797856836261e+00,-1.899178484153921431e+00,2.028971826898226638e+00
5.987400151626365297e-01,1.086631526217851196e+00,-1.044897802361437256e+00
9.567051062133336004e-02,1.409640031718321529e+00,1.303550929078956866e+00
1.144424804342986990e+00,1.479596678845237934e+00,-2.692720596006837885e-01
-1.879932815568954085e+00,-6.528517376918469006e-01,1.192066018022487572e+00
-2.083051704886253130e+00,1.148098431795429253e+00,1.053377607205576938e+00
-1.391854414513265414e+00,3.790560708937922296e-01,3.031734722430242446e+00
-9.483018808826120249e-01,-1.159595634432130540e+00,5.707057924485506861e-01
-5.948114624030147457e-01,-9.794447813609077347e-01,-6.826136511963600828e-01
